Date,t,Quelle_temp,Time_temp,eco2,Quelle_co2,Time_co2
2021-02-19,76.945,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:33,11116.5,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:56
2021-02-19,76.945,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:33,8115.15,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:28
2021-02-19,76.945,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:33,7456.75,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:45
2021-02-18,74.575,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:32,8392.6,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:32
2021-02-18,74.575,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:32,7210.65,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:04
2021-02-18,74.575,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:32,7949.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:03
2021-02-14,-59.855,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:18,1796.5,"Stadt Konstanz, Abt. Datenmanagement und Statistik",09:00:13
2021-02-06,97.215,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:24,6300.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:24
2021-02-06,97.215,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:24,5484.5,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:41
2021-02-06,96.465,"Stadt Konstanz, Abt. Datenmanagement und Statistik",12:00:21,6300.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:24
2021-02-06,96.465,"Stadt Konstanz, Abt. Datenmanagement und Statistik",12:00:21,5484.5,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:41
2021-02-06,6.202,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:22,6300.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:24
2021-02-06,6.202,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:22,5484.5,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:41
2021-02-05,57.325,"Stadt Konstanz, Abt. Datenmanagement und Statistik",03:00:17,5865.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:43
2021-02-04,9.633,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:20,3484.55,"Stadt Konstanz, Abt. Datenmanagement und Statistik",14:00:10
2021-02-01,80.225,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:02,3021.9,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:27
2021-02-01,80.225,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:02,3237.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:53
2021-02-01,80.225,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:02,3864.25,"Stadt Konstanz, Abt. Datenmanagement und Statistik",09:00:11
2021-02-01,80.225,"Stadt Konstanz, Abt. Datenmanagement und Statistik",20:00:02,4129.95,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:38
2021-01-29,81.675,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:25,1867.2,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:06
2021-01-29,81.675,"Stadt Konstanz, Abt. Datenmanagement und Statistik",04:00:25,2070.95,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:07
2021-01-28,87.425,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:50,2823.6,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:50
2021-01-28,87.425,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:50,3039.95,"Stadt Konstanz, Abt. Datenmanagement und Statistik",19:00:22
2021-01-28,87.425,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:50,3909.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",09:00:52
2021-01-28,47.305,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:46,2823.6,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:50
2021-01-28,47.305,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:46,3039.95,"Stadt Konstanz, Abt. Datenmanagement und Statistik",19:00:22
2021-01-28,47.305,"Stadt Konstanz, Abt. Datenmanagement und Statistik",08:00:46,3909.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",09:00:52
2021-01-21,5.612,"Stadt Konstanz, Abt. Datenmanagement und Statistik",21:00:02,3403.15,"Stadt Konstanz, Abt. Datenmanagement und Statistik",19:00:03
2021-01-19,33.045,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:40,2910.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:15
2021-01-19,33.045,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:40,1602.4,"Stadt Konstanz, Abt. Datenmanagement und Statistik",05:00:47
2021-01-19,23.875,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:26,2910.0,"Stadt Konstanz, Abt. Datenmanagement und Statistik",07:00:15
2021-01-19,23.875,"Stadt Konstanz, Abt. Datenmanagement und Statistik",00:00:26,1602.4,"Stadt Konstanz, Abt. Datenmanagement und Statistik",05:00:47
2021-01-11,-1.546,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:17,2828.45,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:17
2021-01-11,-1.546,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:17,1501.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:39
2021-01-11,0.057,"Stadt Konstanz, Abt. Datenmanagement und Statistik",12:00:54,2828.45,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:17
2021-01-11,0.057,"Stadt Konstanz, Abt. Datenmanagement und Statistik",12:00:54,1501.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:39
2021-01-11,-10.295,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:01,2828.45,"Stadt Konstanz, Abt. Datenmanagement und Statistik",23:00:17
2021-01-11,-10.295,"Stadt Konstanz, Abt. Datenmanagement und Statistik",01:00:01,1501.8,"Stadt Konstanz, Abt. Datenmanagement und Statistik",06:00:39
2021-01-09,0.117,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:08,1962.25,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:08
2021-01-09,0.117,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:08,2354.95,"Stadt Konstanz, Abt. Datenmanagement und Statistik",11:00:28
2021-01-09,0.117,"Stadt Konstanz, Abt. Datenmanagement und Statistik",18:00:08,2329.4,"Stadt Konstanz, Abt. Datenmanagement und Statistik",10:00:20
